year,city,country,avg_temp
1852,Alexandria,Egypt,20.13
1853,Alexandria,Egypt,20.75
1854,Alexandria,Egypt,19.75
1855,Alexandria,Egypt,20.18
1856,Alexandria,Egypt,19.61
1857,Alexandria,Egypt,19.33
1858,Alexandria,Egypt,19.88
1859,Alexandria,Egypt,20.04
1860,Alexandria,Egypt,20.49
1861,Alexandria,Egypt,19.39
1862,Alexandria,Egypt,19.43
1863,Alexandria,Egypt,19.80
1864,Alexandria,Egypt,20.29
1865,Alexandria,Egypt,20.59
1866,Alexandria,Egypt,20.43
1867,Alexandria,Egypt,20.41
1868,Alexandria,Egypt,20.03
1869,Alexandria,Egypt,20.55
1870,Alexandria,Egypt,20.44
1871,Alexandria,Egypt,20.05
1872,Alexandria,Egypt,20.37
1873,Alexandria,Egypt,20.56
1874,Alexandria,Egypt,19.81
1875,Alexandria,Egypt,19.13
1876,Alexandria,Egypt,20.18
1877,Alexandria,Egypt,20.36
1878,Alexandria,Egypt,20.40
1879,Alexandria,Egypt,20.56
1880,Alexandria,Egypt,20.16
1881,Alexandria,Egypt,20.45
1882,Alexandria,Egypt,19.29
1883,Alexandria,Egypt,19.78
1884,Alexandria,Egypt,19.34
1885,Alexandria,Egypt,20.12
1886,Alexandria,Egypt,19.76
1887,Alexandria,Egypt,20.34
1888,Alexandria,Egypt,20.04
1889,Alexandria,Egypt,20.10
1890,Alexandria,Egypt,20.11
1891,Alexandria,Egypt,20.09
1892,Alexandria,Egypt,20.42
1893,Alexandria,Egypt,19.66
1894,Alexandria,Egypt,19.99
1895,Alexandria,Egypt,20.14
1896,Alexandria,Egypt,20.17
1897,Alexandria,Egypt,19.85
1898,Alexandria,Egypt,20.13
1899,Alexandria,Egypt,20.18
1900,Alexandria,Egypt,20.73
1901,Alexandria,Egypt,20.89
1902,Alexandria,Egypt,20.41
1903,Alexandria,Egypt,19.59
1904,Alexandria,Egypt,19.78
1905,Alexandria,Egypt,19.90
1906,Alexandria,Egypt,20.15
1907,Alexandria,Egypt,19.47
1908,Alexandria,Egypt,19.40
1909,Alexandria,Egypt,20.40
1910,Alexandria,Egypt,19.62
1911,Alexandria,Egypt,19.73
1912,Alexandria,Egypt,19.89
1913,Alexandria,Egypt,19.65
1914,Alexandria,Egypt,19.92
1915,Alexandria,Egypt,20.64
1916,Alexandria,Egypt,20.86
1917,Alexandria,Egypt,20.25
1918,Alexandria,Egypt,20.58
1919,Alexandria,Egypt,20.38
1920,Alexandria,Egypt,19.92
1921,Alexandria,Egypt,19.97
1922,Alexandria,Egypt,20.61
1923,Alexandria,Egypt,20.66
1924,Alexandria,Egypt,20.82
1925,Alexandria,Egypt,20.48
1926,Alexandria,Egypt,20.47
1927,Alexandria,Egypt,20.96
1928,Alexandria,Egypt,20.80
1929,Alexandria,Egypt,20.21
1930,Alexandria,Egypt,20.81
1931,Alexandria,Egypt,20.69
1932,Alexandria,Egypt,20.55
1933,Alexandria,Egypt,20.07
1934,Alexandria,Egypt,20.53
1935,Alexandria,Egypt,20.68
1936,Alexandria,Egypt,20.94
1937,Alexandria,Egypt,20.96
1938,Alexandria,Egypt,20.12
1939,Alexandria,Egypt,20.95
1940,Alexandria,Egypt,20.56
1941,Alexandria,Egypt,20.88
1942,Alexandria,Egypt,20.61
1943,Alexandria,Egypt,20.59
1944,Alexandria,Egypt,20.48
1945,Alexandria,Egypt,20.12
1946,Alexandria,Egypt,20.89
1947,Alexandria,Egypt,21.04
1948,Alexandria,Egypt,19.96
1949,Alexandria,Egypt,19.71
1950,Alexandria,Egypt,20.57
1951,Alexandria,Egypt,20.83
1952,Alexandria,Egypt,20.84
1953,Alexandria,Egypt,20.11
1954,Alexandria,Egypt,20.43
1955,Alexandria,Egypt,21.23
1956,Alexandria,Egypt,20.45
1957,Alexandria,Egypt,20.56
1958,Alexandria,Egypt,20.92
1959,Alexandria,Egypt,20.11
1960,Alexandria,Egypt,21.37
1961,Alexandria,Egypt,20.35
1962,Alexandria,Egypt,21.13
1963,Alexandria,Egypt,21.10
1964,Alexandria,Egypt,20.22
1965,Alexandria,Egypt,20.52
1966,Alexandria,Egypt,21.08
1967,Alexandria,Egypt,20.11
1968,Alexandria,Egypt,20.63
1969,Alexandria,Egypt,20.75
1970,Alexandria,Egypt,20.64
1971,Alexandria,Egypt,20.51
1972,Alexandria,Egypt,20.70
1973,Alexandria,Egypt,20.54
1974,Alexandria,Egypt,20.55
1975,Alexandria,Egypt,20.45
1976,Alexandria,Egypt,20.22
1977,Alexandria,Egypt,20.64
1978,Alexandria,Egypt,20.61
1979,Alexandria,Egypt,21.07
1980,Alexandria,Egypt,20.44
1981,Alexandria,Egypt,20.60
1982,Alexandria,Egypt,20.16
1983,Alexandria,Egypt,19.87
1984,Alexandria,Egypt,20.51
1985,Alexandria,Egypt,20.84
1986,Alexandria,Egypt,20.59
1987,Alexandria,Egypt,20.21
1988,Alexandria,Egypt,20.63
1989,Alexandria,Egypt,20.46
1990,Alexandria,Egypt,20.73
1991,Alexandria,Egypt,20.64
1992,Alexandria,Egypt,20.09
1993,Alexandria,Egypt,20.74
1994,Alexandria,Egypt,21.10
1995,Alexandria,Egypt,20.62
1996,Alexandria,Egypt,20.85
1997,Alexandria,Egypt,20.52
1998,Alexandria,Egypt,21.29
1999,Alexandria,Egypt,21.46
2000,Alexandria,Egypt,20.74
2001,Alexandria,Egypt,21.45
2002,Alexandria,Egypt,21.46
2003,Alexandria,Egypt,21.22
2004,Alexandria,Egypt,21.06
2005,Alexandria,Egypt,21.08
2006,Alexandria,Egypt,21.15
2007,Alexandria,Egypt,21.51
2008,Alexandria,Egypt,21.74
2009,Alexandria,Egypt,21.67
2010,Alexandria,Egypt,22.46
2011,Alexandria,Egypt,21.18
2012,Alexandria,Egypt,21.55
2013,Alexandria,Egypt,21.44
